,year,salary_avg,inflation,inflation_growth,salary_depend
0,2007,50910.0,10.846836,0.0,0.0
1,2008,58599.0,17.139899777207003,17.139899777207003,15.10312315851503
2,2009,65964.0,7.316078582885854,25.7099468968212,29.56982911019445
3,2010,72251.0,7.400463567421145,35.01306571754492,41.919072873698696
4,2011,87470.0,8.424887619197952,46.38776477548194,71.81300333922609
5,2012,100584.0,5.097914849758189,53.85048837420032,97.57218621096052
6,2013,108836.0,5.846409173204581,62.84521743952962,113.78118247888432
7,2014,116768.0,6.706578290927223,73.76655944014236,129.361618542526
8,2015,118638.0,6.665776115415456,85.34944925588255,133.03476723629933
9,2016,132769.0,14.546023794614893,112.31042424783088,160.79159300726772
10,2017,140265.0,7.440004373257514,128.1063290967511,175.51561579257515
11,2018,152441.99999999997,6.0191309657067205,141.8363477861505,199.4342958161461
12,2019,168489.0,5.245476796083892,154.5218172937698,230.95462581025336
13,2020,200332.0,6.771545827633396,171.75687879314282,293.50225888823417
14,2021,230829.0,8.04232062780268,193.61243831379647,353.4060106069535
15,2022,285433.0,14.96000000000004,237.53685908554044,460.66195246513456
16,2023,340636.0,14.829999999999988,287.59357528792606,569.0944804557062
17,2024,346616.7053351171,2.4062149776591824,296.9199099489488,580.8420847281814
18,2025,385204.82928257936,8.115621435747622,329.13242724351585,656.6388318259269
19,2026,426344.94167561864,7.922658054717546,363.1311220559292,737.4483238570392
20,2027,470037.04251233843,7.726725893825392,398.9159943861887,823.270560817793
21,2028,516281.1317965317,7.5305362566825185,436.4870442338288,914.1055427156388
22,2029,565077.2095263022,7.336100244823873,475.8442715993151,1009.9532695468516
23,2030,616425.2757016495,7.14488394025905,516.9876764817163,1110.813741311431
24,2031,670325.3303216257,6.957931906438208,559.9172588824295,1216.6869580075145
25,2032,726777.3733852822,6.775964610212726,604.6330188009888,1327.5729196332395
26,2033,785781.4048964125,6.599454779387681,651.1349562373944,1443.4716261960566
27,2034,847337.4248531198,6.428686956026164,699.4230711911805,1564.3830776922405
28,2035,911445.4332554039,6.263803770013676,749.4973636628129,1690.3072741217911
29,2036,978105.430103265,6.104841781482384,801.3578336522914,1821.2442154847083
30,2037,1047317.415394807,5.951759168610948,855.0044811586849,1957.1939017772677
31,2038,1119081.3891328739,5.804457059452761,910.4373061833904,2098.156333005056
32,2039,1193397.351316518,5.662795919390451,967.656308725942,2244.131509166211
33,2040,1270265.3019466873,5.526608102034647,1026.661488785874,2395.1194302625954
34,2041,1349685.241019589,5.395707422622098,1087.4528463641182,2551.120096286759
35,2042,1431657.1685399641,5.269896424707032,1150.0303814597428,2712.133507248014
36,2043,1516181.0845049678,5.148971862415341,1214.394094072748,2878.159663140774
37,2044,1603256.988916497,5.032728801020903,1280.543984204065,3049.1985639687628
38,2045,1692884.881772655,4.9209636509288,1348.4800518518314,3225.250209728256
39,2046,1785064.7630734418,4.813476380081361,1418.2022970179096,3406.314600419253
40,2047,1879796.6328207536,4.710072091502471,1489.7107197022997,3592.39173604548
41,2048,1977080.4910136426,4.6105621163262,1563.0053199040703,3783.481616605073
42,2049,2076916.3376521089,4.51476473472423,1638.0860976236872,3979.5842420980334
43,2050,2179304.172736152,4.422505613622385,1714.9530528606847,4180.69961252436
